1,1,1,1,12,23
2,1,1,12,99,23
3,1,1,12,13,99
4,1,1,13,100,99
5,1,1,13,2,14
6,1,1,14,100,13
7,1,1,23,99,22
8,1,1,99,101,22
9,1,1,99,100,102
10,1,1,102,101,99
11,1,1,100,14,15
12,1,1,15,102,100
13,1,1,22,101,103
14,1,1,103,21,22
15,1,1,101,102,104
16,1,1,104,103,101
17,1,1,102,15,16
18,1,1,16,104,102
19,1,1,21,103,105
20,1,1,105,20,21
21,1,1,103,104,106
22,1,1,106,105,103
23,1,1,104,16,17
24,1,1,17,106,104
25,1,1,20,105,19
26,1,1,19,4,20
27,1,1,105,106,18
28,1,1,18,19,105
29,1,1,106,17,3
30,1,1,3,18,106
31,1,1,3,5,18
32,1,1,5,24,18
33,1,1,18,24,19
34,1,1,24,25,19
35,1,1,19,25,4
36,1,1,25,6,4
37,1,1,6,26,4
38,1,1,26,29,4
39,1,1,26,27,29
40,1,1,27,28,29
41,1,1,27,7,28
42,1,1,7,8,28
43,1,1,8,30,107
44,1,1,107,28,8
45,1,1,30,31,108
46,1,1,108,107,30
47,1,1,31,32,109
48,1,1,109,108,31
49,1,1,32,33,110
50,1,1,110,109,32
51,1,1,33,34,111
52,1,1,111,110,33
53,1,1,34,35,112
54,1,1,112,111,34
55,1,1,35,36,113
56,1,1,113,112,35
57,1,1,36,37,114
58,1,1,114,113,36
59,1,1,37,38,115
60,1,1,115,114,37
61,1,1,38,39,116
62,1,1,116,115,38
63,1,1,39,40,117
64,1,1,117,116,39
65,1,1,40,41,118
66,1,1,118,117,40
67,1,1,41,42,119
68,1,1,119,118,41
69,1,1,42,43,120
70,1,1,120,119,42
71,1,1,43,44,121
72,1,1,121,120,43
73,1,1,44,45,122
74,1,1,122,121,44
75,1,1,45,46,123
76,1,1,123,122,45
77,1,1,46,47,124
78,1,1,124,123,46
79,1,1,47,48,125
80,1,1,125,124,47
81,1,1,48,49,126
82,1,1,126,125,48
83,1,1,49,50,127
84,1,1,127,126,49
85,1,1,50,9,51
86,1,1,51,127,50
87,1,1,28,107,128
88,1,1,128,29,28
89,1,1,107,108,129
90,1,1,129,128,107
91,1,1,108,109,130
92,1,1,130,129,108
93,1,1,109,110,131
94,1,1,131,130,109
95,1,1,110,111,132
96,1,1,132,131,110
97,1,1,111,112,133
98,1,1,133,132,111
99,1,1,112,113,134
100,1,1,134,133,112
101,1,1,113,114,135
102,1,1,135,134,113
103,1,1,114,115,136
104,1,1,136,135,114
105,1,1,115,116,137
106,1,1,137,136,115
107,1,1,116,117,138
108,1,1,138,137,116
109,1,1,117,118,139
110,1,1,139,138,117
111,1,1,118,119,140
112,1,1,140,139,118
113,1,1,119,120,141
114,1,1,141,140,119
115,1,1,120,121,142
116,1,1,142,141,120
117,1,1,121,122,143
118,1,1,143,142,121
119,1,1,122,123,144
120,1,1,144,143,122
121,1,1,123,124,145
122,1,1,145,144,123
123,1,1,124,125,146
124,1,1,146,145,124
125,1,1,125,126,147
126,1,1,147,146,125
127,1,1,126,127,148
128,1,1,148,147,126
129,1,1,127,51,148
130,1,1,51,52,148
131,1,1,29,128,73
132,1,1,73,4,29
133,1,1,128,129,72
134,1,1,72,73,128
135,1,1,129,130,71
136,1,1,71,72,129
137,1,1,130,131,70
138,1,1,70,71,130
139,1,1,131,132,69
140,1,1,69,70,131
141,1,1,132,133,68
142,1,1,68,69,132
143,1,1,133,134,67
144,1,1,67,68,133
145,1,1,134,135,66
146,1,1,66,67,134
147,1,1,135,136,65
148,1,1,65,66,135
149,1,1,136,137,64
150,1,1,64,65,136
151,1,1,137,138,63
152,1,1,63,64,137
153,1,1,138,139,62
154,1,1,62,63,138
155,1,1,139,140,61
156,1,1,61,62,139
157,1,1,140,141,60
158,1,1,60,61,140
159,1,1,141,142,59
160,1,1,59,60,141
161,1,1,142,143,58
162,1,1,58,59,142
163,1,1,143,144,57
164,1,1,57,58,143
165,1,1,144,145,56
166,1,1,56,57,144
167,1,1,145,146,55
168,1,1,55,56,145
169,1,1,146,147,55
170,1,1,147,54,55
171,1,1,147,148,54
172,1,1,148,53,54
173,1,1,148,52,53
174,1,1,52,10,53
175,1,1,10,74,149
176,1,1,149,53,10
177,1,1,74,75,150
178,1,1,150,149,74
179,1,1,75,76,151
180,1,1,151,150,75
181,1,1,76,77,152
182,1,1,152,151,76
183,1,1,77,11,78
184,1,1,78,152,77
185,1,1,53,149,153
186,1,1,153,54,53
187,1,1,149,150,154
188,1,1,154,153,149
189,1,1,150,151,155
190,1,1,155,154,150
191,1,1,151,152,156
192,1,1,156,155,151
193,1,1,152,78,79
