1,1,1,1,12,63,17
2,1,1,12,13,64,63
3,1,1,13,2,14,64
4,1,1,17,63,16,4
5,1,1,63,64,15,16
6,1,1,64,14,3,15
7,1,1,3,18,65,15
8,1,1,18,5,19,65
9,1,1,15,65,66,16
10,1,1,65,19,20,66
11,1,1,16,66,21,4
12,1,1,66,20,6,21
13,1,1,6,22,67,21
14,1,1,22,23,68,67
15,1,1,23,7,24,68
16,1,1,21,67,26,4
17,1,1,67,68,25,26
18,1,1,68,24,8,25
19,1,1,8,27,69,25
20,1,1,27,28,70,69
21,1,1,28,29,71,70
22,1,1,29,30,72,71
23,1,1,30,31,73,72
24,1,1,31,32,74,73
25,1,1,32,33,75,74
26,1,1,33,34,76,75
27,1,1,34,35,77,76
28,1,1,35,36,78,77
29,1,1,36,37,79,78
30,1,1,37,9,38,79
31,1,1,25,69,80,26
32,1,1,69,70,81,80
33,1,1,70,71,82,81
34,1,1,71,72,83,82
35,1,1,72,73,84,83
36,1,1,73,74,85,84
37,1,1,74,75,86,85
38,1,1,75,76,87,86
39,1,1,76,77,88,87
40,1,1,77,78,89,88
41,1,1,78,79,90,89
42,1,1,79,38,39,90
43,1,1,26,80,50,4
44,1,1,80,81,49,50
45,1,1,81,82,48,49
46,1,1,82,83,47,48
47,1,1,83,84,46,47
48,1,1,84,85,45,46
49,1,1,85,86,44,45
50,1,1,86,87,43,44
51,1,1,87,88,42,43
52,1,1,88,89,41,42
53,1,1,89,90,40,41
54,1,1,90,39,10,40
55,1,1,10,51,91,40
56,1,1,51,11,52,91
57,1,1,40,91,92,41
58,1,1,91,52,53,92
59,1,1,41,92,93,42
60,1,1,92,53,54,93
61,1,1,42,93,94,43
62,1,1,93,54,55,94
63,1,1,43,94,95,44
64,1,1,94,55,56,95
65,1,1,44,95,96,45
66,1,1,95,56,57,96
67,1,1,45,96,97,46
68,1,1,96,57,58,97
69,1,1,46,97,98,47
70,1,1,97,58,59,98
71,1,1,47,98,99,48
72,1,1,98,59,60,99
73,1,1,48,99,100,49
74,1,1,99,60,61,100
75,1,1,49,100,101,50
76,1,1,100,61,62,101
77,1,1,50,101,17,4
78,1,1,101,62,1,17
